,Unnamed: 0,Movie Name,Director,Released,Actors,Plot,RT Score,imdb_id
0,0,Sing Sing,Greg Kwedar,2024-08-02,"Colman Domingo, Clarence Maclin, Sean San Jose","Divine G, imprisoned at Sing Sing for a crime he didn't commit, finds purpose by acting in a theatre group alongside other incarcerated men in this story of resilience, humanity, and the transformative power of art.",98%,tt28479262
1,1,Dune: Part Two,Denis Villeneuve,2024-03-01,"Timothée Chalamet, Zendaya, Rebecca Ferguson",Paul Atreides unites with Chani and the Fremen while seeking revenge against the conspirators who destroyed his family.,92%,tt15239678
2,2,Blitz,Steve McQueen,2024-11-01,"Saoirse Ronan, Harris Dickinson, Benjamin Clémentine",Follow the stories of a group of Londoners during the events of the British capital bombing in World War II.,77%,tt15939198
3,3,Conclave,Edward Berger,2024-10-25,"Ralph Fiennes, Stanley Tucci, John Lithgow","When Cardinal Lawrence is tasked with leading one of the world's most secretive and ancient events, selecting a new Pope, he finds himself at the center of a conspiracy that could shake the very foundation of The Church.",93%,tt20215234
4,4,Emilia Perez,Jacques Audiard,2024-11-13,"Zoe Saldana, Karla Sofía Gascón, Selena Gomez","In Mexico, a lawyer receives an unexpected offer to help a feared cartel boss retire from his business and disappear forever by becoming the woman he's always dreamed of being.",,tt20221436
5,5,Anora,Sean Baker,2024-10-17,"Mikey Madison, Paul Weissman, Lindsey Normington","Anora, a young sex worker from Brooklyn, meets and impulsively marries the son of an oligarch. Once the news reaches Russia, her fairytale is threatened as the parents set out for New York to get the marriage annulled.",98%,tt28607951
6,6,Joker: Folie à Deux,Todd Phillips,2024-10-04,"Joaquin Phoenix, Zazie Beetz, Lady Gaga","Arthur Fleck is institutionalized at Arkham, awaiting trial for his crimes as Joker. While struggling with his dual identity, Arthur not only stumbles upon true love, but also finds the music that's always been inside him.",33%,tt11315808
7,7,Gladiator II,Ridley Scott,2024-11-22,"Pedro Pascal, Denzel Washington, Connie Nielsen","After his home is conquered by the tyrannical emperors who now lead Rome, Lucius is forced to enter the Colosseum and must look to his past to find strength to return the glory of Rome to its people.",,tt9218128
8,8,Nickel Boys,RaMell Ross,2024-11-08,"Ethan Herisse, Brandon Wilson, Aunjanue Ellis-Taylor","Based on the Pulitzer Prize winning novel by Colson Whitehead, Nickel Boys chronicles the powerful friendship between two young African American men navigating the harrowing trials of reform school together in Florida.",81%,tt23055660
9,9,Wicked,Jon M. Chu,2024-11-22,"Cynthia Erivo, Ariana Grande, Jonathan Bailey","After two decades as one of the most beloved and enduring musicals on the stage, Wicked makes its long-awaited journey to the big screen as a spectacular, generation-defining two-part cinematic event this holiday season.",,tt1262426
